harvest,species,inside_slash,year,n,ht_avg,ht_cm_avg,ba_ac_avg,ba_ha_avg,ground_avg,sub_avg,canopy_avg
gas_line,ro,no,2018,27,10.922222222222222,27.742444444444445,44.81481481481482,4.163432533333333,44.888888888888886,0.14814814814814814,43.333333333333336
gas_line,ro,no,2019,28,13.205357142857142,33.541607142857146,45,4.1806368,44.892857142857146,0.17857142857142858,45
gas_line,ro,no,2020,29,15.913793103448276,40.42103448275862,45.172413793103445,4.196654565517242,44.89655172413793,0.20689655172413793,46.55172413793103
gas_line,ro,no,2021,29,21.189655172413794,53.821724137931035,45.172413793103445,4.196654565517242,44.89655172413793,0.20689655172413793,46.55172413793103
gas_line,ro,yes,2018,84,14.311845238095238,36.352086904761904,10.595238095238095,0.9843298285714286,73.45238095238095,0.13095238095238096,13.80952380952381
gas_line,ro,yes,2019,84,22.232142857142858,56.46964285714286,10.595238095238095,0.9843298285714286,73.45238095238095,0.13095238095238096,13.80952380952381
gas_line,ro,yes,2020,84,29.636904761904763,75.27773809523809,10.595238095238095,0.9843298285714286,73.45238095238095,0.13095238095238096,13.80952380952381
gas_line,ro,yes,2021,83,39.3855421686747,100.03927710843374,10.602409638554217,0.984996086746988,73.55421686746988,0.13253012048192772,13.734939759036145
gas_line,sm,no,2018,24,5.427083333333333,13.784791666666667,49.166666666666664,4.5677328,42.041666666666664,0.20833333333333334,44.583333333333336
gas_line,sm,no,2019,27,5.75,14.605,49.629629629629626,4.6107434666666665,40.592592592592595,0.2222222222222222,47.03703703703704
gas_line,sm,no,2020,26,6.990384615384615,17.755576923076923,48.84615384615385,4.537956184615385,41.69230769230769,0.23076923076923078,47.69230769230769
gas_line,sm,no,2021,26,8.288461538461538,21.052692307692308,48.84615384615385,4.537956184615385,41.69230769230769,0.23076923076923078,47.69230769230769
gas_line,sm,yes,2018,60,10.116733333333332,25.696502666666667,7.833333333333333,0.72774048,93.66666666666667,0.4,7.75
gas_line,sm,yes,2019,60,13.366666666666667,33.95133333333333,7.833333333333333,0.72774048,93.66666666666667,0.4,7.75
gas_line,sm,yes,2020,59,18.364406779661017,46.64559322033898,7.796610169491525,0.724328786440678,93.89830508474576,0.4067796610169492,7.627118644067797
gas_line,sm,yes,2021,62,21.967741935483872,55.79806451612903,7.903225806451613,0.7342337032258065,93.87096774193549,0.3870967741935484,7.741935483870968
sta_rd,black birch,no,2018,67,7.66044776119403,19.457537313432837,32.23880597014925,2.995083080597015,66.26865671641791,0,12.388059701492537
sta_rd,black birch,no,2019,44,19.147727272727273,48.63522727272727,34.54545454545455,3.2093777454545456,66.36363636363636,0,16.59090909090909
sta_rd,black birch,no,2020,40,31.575,80.2005,32.5,3.0193488000000004,67.5,0,19.75
sta_rd,black birch,no,2021,50,42.965,109.1311,26.8,2.4898014720000003,69.2,0,15.8
sta_rd,black birch,yes,2018,61,9.35655737704918,23.76565573770492,37.704918032786885,3.5029015081967216,69.50819672131148,0.7377049180327869,29.42622950819672
sta_rd,black birch,yes,2019,49,22.305102040816326,56.65495918367347,42.44897959183673,3.943639248979592,72.75510204081633,0.9183673469387755,36.42857142857143
sta_rd,black birch,yes,2020,53,29.056603773584907,73.80377358490566,37.924528301886795,3.523303969811321,69.52830188679245,0.8490566037735849,29.245283018867923
sta_rd,black birch,yes,2021,53,34.320754716981135,87.17471698113208,37.924528301886795,3.523303969811321,69.52830188679245,0.8490566037735849,29.245283018867923
sta_rd,red maple,no,2018,16,3.578125,9.0884375,93.75,8.709660000000001,30,0,27.5
sta_rd,red maple,no,2019,11,4.386363636363637,11.141363636363636,97.27272727272727,9.036932072727273,29.09090909090909,0,25.454545454545453
sta_rd,red maple,no,2020,8,4.6875,11.90625,96.25,8.9419176,26.25,0,22.5
sta_rd,red maple,no,2021,22,5.0227272727272725,12.757727272727273,90,8.3612736,35.45454545454545,0,25.454545454545453
sta_rd,red maple,yes,2018,30,6.725,17.081500000000002,30,2.7870912000000003,39.666666666666664,0,17.5
sta_rd,red maple,yes,2019,29,10.53448275862069,26.75758620689655,30,2.7870912000000003,40,0,17.06896551724138
sta_rd,red maple,yes,2020,22,11.022727272727273,27.99772727272727,30,2.7870912000000003,40.68181818181818,0,17.5
sta_rd,red maple,yes,2021,30,12.375,31.4325,30.666666666666668,2.8490265600000004,43.166666666666664,0,15.5
sta_rd,sm,no,2019,31,7.02258064516129,17.83735483870968,42.74193548387097,3.970855741935484,95.6774193548387,0.3870967741935484,28.225806451612904
sta_rd,sm,no,2020,31,8.741935483870968,22.20451612903226,42.74193548387097,3.970855741935484,95.6774193548387,0.3870967741935484,28.225806451612904
sta_rd,sm,no,2021,31,9.42741935483871,23.945645161290322,42.74193548387097,3.970855741935484,95.6774193548387,0.3870967741935484,28.225806451612904
