harvest,inside_slash,plot,species,n
gas_line,no,3087,ro,5
gas_line,no,3088,ro,5
gas_line,no,3089,ro,3
gas_line,no,3090,ro,6
gas_line,no,3091,ro,1
gas_line,no,3092,ro,6
gas_line,no,3093,ro,5
gas_line,no,3094,ro,4
gas_line,no,3095,ro,6
gas_line,no,3096,ro,6
gas_line,no,3087,sm,9
gas_line,no,3088,sm,5
gas_line,no,3089,sm,5
gas_line,no,3090,sm,2
gas_line,no,3091,sm,6
gas_line,no,3092,sm,4
gas_line,no,3093,sm,3
gas_line,no,3094,sm,5
gas_line,no,3095,sm,5
gas_line,no,3096,sm,7
gas_line,yes,3101,bc,7
gas_line,yes,3102,bc,7
gas_line,yes,3103,bc,7
gas_line,yes,3104,bc,5
gas_line,yes,3105,bc,8
gas_line,yes,3106,bc,9
gas_line,yes,3107,bc,8
gas_line,yes,3108,bc,3
gas_line,yes,3119,ro,6
gas_line,yes,3120,ro,6
gas_line,yes,3121,ro,6
gas_line,yes,3122,ro,6
gas_line,yes,3123,ro,6
gas_line,yes,3124,ro,6
gas_line,yes,3125,ro,6
gas_line,yes,3126,ro,6
gas_line,yes,3127,ro,6
gas_line,yes,3128,ro,6
gas_line,yes,3129,ro,6
gas_line,yes,3130,ro,6
gas_line,yes,3131,ro,6
gas_line,yes,3132,ro,5
gas_line,yes,3133,ro,6
gas_line,yes,3134,ro,6
gas_line,yes,3135,ro,6
gas_line,yes,3136,ro,6
gas_line,yes,3137,ro,5
gas_line,yes,3138,ro,6
gas_line,yes,3139,ro,5
gas_line,yes,3140,ro,5
gas_line,yes,3141,ro,5
gas_line,yes,3142,ro,5
gas_line,yes,3143,ro,5
gas_line,yes,3144,ro,5
gas_line,yes,3145,ro,5
gas_line,yes,3146,ro,5
gas_line,yes,3147,ro,5
gas_line,yes,3148,ro,5
gas_line,yes,3101,sm,8
gas_line,yes,3102,sm,7
gas_line,yes,3103,sm,7
gas_line,yes,3104,sm,6
gas_line,yes,3105,sm,8
gas_line,yes,3106,sm,7
gas_line,yes,3107,sm,7
gas_line,yes,3108,sm,6
gas_line,yes,3109,sm,6
gas_line,yes,3110,sm,6
gas_line,yes,3111,sm,6
gas_line,yes,3112,sm,8
gas_line,yes,3113,sm,6
gas_line,yes,3114,sm,6
gas_line,yes,3115,sm,6
gas_line,yes,3116,sm,6
gas_line,yes,3117,sm,8
gas_line,yes,3118,sm,6
